N;Actividad;Produccion_PB;PB_Sim;Dif_pp;fila;columna;shock;year;S_Actividad;S_Componente_Demanda
0;Agropecuario-silvícola y Pesca;13985.638;13985.638;-2.06E-10;8;5;-99;2016;Intermediación financiera;Exportaciones
1;Minería;24815.83798;24815.83798;3.36E-11;8;5;-99;2016;Intermediación financiera;Exportaciones
2;Industria manufacturera;51505.56234;51505.56234;-3.08E-11;8;5;-99;2016;Intermediación financiera;Exportaciones
3;Electricidad, gas, agua y gestión de desechos;12675.04055;12675.04055;1.17E-10;8;5;-99;2016;Intermediación financiera;Exportaciones
4;Construcción;25224.49908;25224.49908;-4.26E-14;8;5;-99;2016;Intermediación financiera;Exportaciones
5;Comercio, hoteles y restaurantes;38664.68473;38664.68473;-3.77E-12;8;5;-99;2016;Intermediación financiera;Exportaciones
6;Transporte, comunicaciones y servicios de información;29715.62713;29715.62713;-7.99E-12;8;5;-99;2016;Intermediación financiera;Exportaciones
7;Intermediación financiera;13124.07236;13124.07236;-1.68E-11;8;5;-99;2016;Intermediación financiera;Exportaciones
8;Servicios inmobiliarios y de vivienda;16795.95538;16795.95538;-1.82E-12;8;5;-99;2016;Intermediación financiera;Exportaciones
9;Servicios empresariales;25172.307;25172.307;5.28E-11;8;5;-99;2016;Intermediación financiera;Exportaciones
10;Servicios personales;27953.37711;27953.37711;-8.53E-13;8;5;-99;2016;Intermediación financiera;Exportaciones
11;Administración pública;11630.38587;11630.38587;-1.02E-12;8;5;-99;2016;Intermediación financiera;Exportaciones
Total;Total;291262.9875;291262.9875;-5.14E-12;8;5;-99;2016;Intermediación financiera;Exportaciones
0;Agropecuario-silvícola y Pesca;13985.638;13985.638;-2.06E-10;9;5;-99;2016;Servicios inmobiliarios y de vivienda;Exportaciones
1;Minería;24815.83798;24815.83798;3.36E-11;9;5;-99;2016;Servicios inmobiliarios y de vivienda;Exportaciones
2;Industria manufacturera;51505.56234;51505.56234;-3.08E-11;9;5;-99;2016;Servicios inmobiliarios y de vivienda;Exportaciones
3;Electricidad, gas, agua y gestión de desechos;12675.04055;12675.04055;1.17E-10;9;5;-99;2016;Servicios inmobiliarios y de vivienda;Exportaciones
4;Construcción;25224.49908;25224.49908;-4.26E-14;9;5;-99;2016;Servicios inmobiliarios y de vivienda;Exportaciones
5;Comercio, hoteles y restaurantes;38664.68473;38664.68473;-3.77E-12;9;5;-99;2016;Servicios inmobiliarios y de vivienda;Exportaciones
6;Transporte, comunicaciones y servicios de información;29715.62713;29715.62713;-7.99E-12;9;5;-99;2016;Servicios inmobiliarios y de vivienda;Exportaciones
7;Intermediación financiera;13124.07236;13124.07236;-1.68E-11;9;5;-99;2016;Servicios inmobiliarios y de vivienda;Exportaciones
8;Servicios inmobiliarios y de vivienda;16795.95538;16795.95538;-1.82E-12;9;5;-99;2016;Servicios inmobiliarios y de vivienda;Exportaciones
9;Servicios empresariales;25172.307;25172.307;5.28E-11;9;5;-99;2016;Servicios inmobiliarios y de vivienda;Exportaciones
10;Servicios personales;27953.37711;27953.37711;-8.53E-13;9;5;-99;2016;Servicios inmobiliarios y de vivienda;Exportaciones
11;Administración pública;11630.38587;11630.38587;-1.02E-12;9;5;-99;2016;Servicios inmobiliarios y de vivienda;Exportaciones
Total;Total;291262.9875;291262.9875;-5.14E-12;9;5;-99;2016;Servicios inmobiliarios y de vivienda;Exportaciones
0;Agropecuario-silvícola y Pesca;13985.638;13985.638;-2.06E-10;10;5;-99;2016;Servicios empresariales;Exportaciones
1;Minería;24815.83798;24815.83798;3.36E-11;10;5;-99;2016;Servicios empresariales;Exportaciones
2;Industria manufacturera;51505.56234;51505.56234;-3.08E-11;10;5;-99;2016;Servicios empresariales;Exportaciones
3;Electricidad, gas, agua y gestión de desechos;12675.04055;12675.04055;1.17E-10;10;5;-99;2016;Servicios empresariales;Exportaciones
4;Construcción;25224.49908;25224.49908;-4.26E-14;10;5;-99;2016;Servicios empresariales;Exportaciones
5;Comercio, hoteles y restaurantes;38664.68473;38664.68473;-3.77E-12;10;5;-99;2016;Servicios empresariales;Exportaciones
6;Transporte, comunicaciones y servicios de información;29715.62713;29715.62713;-7.99E-12;10;5;-99;2016;Servicios empresariales;Exportaciones
7;Intermediación financiera;13124.07236;13124.07236;-1.68E-11;10;5;-99;2016;Servicios empresariales;Exportaciones
8;Servicios inmobiliarios y de vivienda;16795.95538;16795.95538;-1.82E-12;10;5;-99;2016;Servicios empresariales;Exportaciones
9;Servicios empresariales;25172.307;25172.307;5.28E-11;10;5;-99;2016;Servicios empresariales;Exportaciones
10;Servicios personales;27953.37711;27953.37711;-8.53E-13;10;5;-99;2016;Servicios empresariales;Exportaciones
11;Administración pública;11630.38587;11630.38587;-1.02E-12;10;5;-99;2016;Servicios empresariales;Exportaciones
Total;Total;291262.9875;291262.9875;-5.14E-12;10;5;-99;2016;Servicios empresariales;Exportaciones
0;Agropecuario-silvícola y Pesca;13985.638;13985.638;-2.06E-10;11;5;-99;2016;Servicios personales;Exportaciones
1;Minería;24815.83798;24815.83798;3.36E-11;11;5;-99;2016;Servicios personales;Exportaciones
2;Industria manufacturera;51505.56234;51505.56234;-3.08E-11;11;5;-99;2016;Servicios personales;Exportaciones
3;Electricidad, gas, agua y gestión de desechos;12675.04055;12675.04055;1.17E-10;11;5;-99;2016;Servicios personales;Exportaciones
4;Construcción;25224.49908;25224.49908;-4.26E-14;11;5;-99;2016;Servicios personales;Exportaciones
5;Comercio, hoteles y restaurantes;38664.68473;38664.68473;-3.77E-12;11;5;-99;2016;Servicios personales;Exportaciones
6;Transporte, comunicaciones y servicios de información;29715.62713;29715.62713;-7.99E-12;11;5;-99;2016;Servicios personales;Exportaciones
7;Intermediación financiera;13124.07236;13124.07236;-1.68E-11;11;5;-99;2016;Servicios personales;Exportaciones
8;Servicios inmobiliarios y de vivienda;16795.95538;16795.95538;-1.82E-12;11;5;-99;2016;Servicios personales;Exportaciones
9;Servicios empresariales;25172.307;25172.307;5.28E-11;11;5;-99;2016;Servicios personales;Exportaciones
10;Servicios personales;27953.37711;27953.37711;-8.53E-13;11;5;-99;2016;Servicios personales;Exportaciones
11;Administración pública;11630.38587;11630.38587;-1.02E-12;11;5;-99;2016;Servicios personales;Exportaciones
Total;Total;291262.9875;291262.9875;-5.14E-12;11;5;-99;2016;Servicios personales;Exportaciones
0;Agropecuario-silvícola y Pesca;13985.638;13985.638;-2.06E-10;1;0;-98;2016;Agropecuario-silvícola y Pesca;Consumo_hogares
1;Minería;24815.83798;24815.83798;3.36E-11;1;0;-98;2016;Agropecuario-silvícola y Pesca;Consumo_hogares
2;Industria manufacturera;51505.56234;51505.56234;-3.08E-11;1;0;-98;2016;Agropecuario-silvícola y Pesca;Consumo_hogares
3;Electricidad, gas, agua y gestión de desechos;12675.04055;12675.04055;1.17E-10;1;0;-98;2016;Agropecuario-silvícola y Pesca;Consumo_hogares
4;Construcción;25224.49908;25224.49908;-4.26E-14;1;0;-98;2016;Agropecuario-silvícola y Pesca;Consumo_hogares
5;Comercio, hoteles y restaurantes;38664.68473;38664.68473;-3.77E-12;1;0;-98;2016;Agropecuario-silvícola y Pesca;Consumo_hogares
6;Transporte, comunicaciones y servicios de información;29715.62713;29715.62713;-7.99E-12;1;0;-98;2016;Agropecuario-silvícola y Pesca;Consumo_hogares
7;Intermediación financiera;13124.07236;13124.07236;-1.68E-11;1;0;-98;2016;Agropecuario-silvícola y Pesca;Consumo_hogares
8;Servicios inmobiliarios y de vivienda;16795.95538;16795.95538;-1.82E-12;1;0;-98;2016;Agropecuario-silvícola y Pesca;Consumo_hogares
9;Servicios empresariales;25172.307;25172.307;5.28E-11;1;0;-98;2016;Agropecuario-silvícola y Pesca;Consumo_hogares
10;Servicios personales;27953.37711;27953.37711;-8.53E-13;1;0;-98;2016;Agropecuario-silvícola y Pesca;Consumo_hogares
11;Administración pública;11630.38587;11630.38587;-1.02E-12;1;0;-98;2016;Agropecuario-silvícola y Pesca;Consumo_hogares
Total;Total;291262.9875;291262.9875;-5.14E-12;1;0;-98;2016;Agropecuario-silvícola y Pesca;Consumo_hogares
0;Agropecuario-silvícola y Pesca;13985.638;13985.638;-2.06E-10;2;0;-98;2016;Minería;Consumo_hogares
1;Minería;24815.83798;24815.83798;3.36E-11;2;0;-98;2016;Minería;Consumo_hogares
2;Industria manufacturera;51505.56234;51505.56234;-3.08E-11;2;0;-98;2016;Minería;Consumo_hogares
3;Electricidad, gas, agua y gestión de desechos;12675.04055;12675.04055;1.17E-10;2;0;-98;2016;Minería;Consumo_hogares
4;Construcción;25224.49908;25224.49908;-4.26E-14;2;0;-98;2016;Minería;Consumo_hogares
5;Comercio, hoteles y restaurantes;38664.68473;38664.68473;-3.77E-12;2;0;-98;2016;Minería;Consumo_hogares
6;Transporte, comunicaciones y servicios de información;29715.62713;29715.62713;-7.99E-12;2;0;-98;2016;Minería;Consumo_hogares
7;Intermediación financiera;13124.07236;13124.07236;-1.68E-11;2;0;-98;2016;Minería;Consumo_hogares
8;Servicios inmobiliarios y de vivienda;16795.95538;16795.95538;-1.82E-12;2;0;-98;2016;Minería;Consumo_hogares
9;Servicios empresariales;25172.307;25172.307;5.28E-11;2;0;-98;2016;Minería;Consumo_hogares
10;Servicios personales;27953.37711;27953.37711;-8.53E-13;2;0;-98;2016;Minería;Consumo_hogares
11;Administración pública;11630.38587;11630.38587;-1.02E-12;2;0;-98;2016;Minería;Consumo_hogares
Total;Total;291262.9875;291262.9875;-5.14E-12;2;0;-98;2016;Minería;Consumo_hogares
0;Agropecuario-silvícola y Pesca;13985.638;13985.638;-2.06E-10;3;0;-98;2016;Industria manufacturera;Consumo_hogares
1;Minería;24815.83798;24815.83798;3.36E-11;3;0;-98;2016;Industria manufacturera;Consumo_hogares
2;Industria manufacturera;51505.56234;51505.56234;-3.08E-11;3;0;-98;2016;Industria manufacturera;Consumo_hogares
3;Electricidad, gas, agua y gestión de desechos;12675.04055;12675.04055;1.17E-10;3;0;-98;2016;Industria manufacturera;Consumo_hogares
4;Construcción;25224.49908;25224.49908;-4.26E-14;3;0;-98;2016;Industria manufacturera;Consumo_hogares
5;Comercio, hoteles y restaurantes;38664.68473;38664.68473;-3.77E-12;3;0;-98;2016;Industria manufacturera;Consumo_hogares
6;Transporte, comunicaciones y servicios de información;29715.62713;29715.62713;-7.99E-12;3;0;-98;2016;Industria manufacturera;Consumo_hogares
7;Intermediación financiera;13124.07236;13124.07236;-1.68E-11;3;0;-98;2016;Industria manufacturera;Consumo_hogares
8;Servicios inmobiliarios y de vivienda;16795.95538;16795.95538;-1.82E-12;3;0;-98;2016;Industria manufacturera;Consumo_hogares
9;Servicios empresariales;25172.307;25172.307;5.28E-11;3;0;-98;2016;Industria manufacturera;Consumo_hogares
10;Servicios personales;27953.37711;27953.37711;-8.53E-13;3;0;-98;2016;Industria manufacturera;Consumo_hogares
11;Administración pública;11630.38587;11630.38587;-1.02E-12;3;0;-98;2016;Industria manufacturera;Consumo_hogares
Total;Total;291262.9875;291262.9875;-5.14E-12;3;0;-98;2016;Industria manufacturera;Consumo_hogares
0;Agropecuario-silvícola y Pesca;13985.638;13985.638;-2.06E-10;4;0;-98;2016;Electricidad, gas, agua y gestión de desechos;Consumo_hogares
1;Minería;24815.83798;24815.83798;3.36E-11;4;0;-98;2016;Electricidad, gas, agua y gestión de desechos;Consumo_hogares
2;Industria manufacturera;51505.56234;51505.56234;-3.08E-11;4;0;-98;2016;Electricidad, gas, agua y gestión de desechos;Consumo_hogares
3;Electricidad, gas, agua y gestión de desechos;12675.04055;12675.04055;1.17E-10;4;0;-98;2016;Electricidad, gas, agua y gestión de desechos;Consumo_hogares
4;Construcción;25224.49908;25224.49908;-4.26E-14;4;0;-98;2016;Electricidad, gas, agua y gestión de desechos;Consumo_hogares
5;Comercio, hoteles y restaurantes;38664.68473;38664.68473;-3.77E-12;4;0;-98;2016;Electricidad, gas, agua y gestión de desechos;Consumo_hogares
6;Transporte, comunicaciones y servicios de información;29715.62713;29715.62713;-7.99E-12;4;0;-98;2016;Electricidad, gas, agua y gestión de desechos;Consumo_hogares
7;Intermediación financiera;13124.07236;13124.07236;-1.68E-11;4;0;-98;2016;Electricidad, gas, agua y gestión de desechos;Consumo_hogares
8;Servicios inmobiliarios y de vivienda;16795.95538;16795.95538;-1.82E-12;4;0;-98;2016;Electricidad, gas, agua y gestión de desechos;Consumo_hogares
9;Servicios empresariales;25172.307;25172.307;5.28E-11;4;0;-98;2016;Electricidad, gas, agua y gestión de desechos;Consumo_hogares
10;Servicios personales;27953.37711;27953.37711;-8.53E-13;4;0;-98;2016;Electricidad, gas, agua y gestión de desechos;Consumo_hogares
11;Administración pública;11630.38587;11630.38587;-1.02E-12;4;0;-98;2016;Electricidad, gas, agua y gestión de desechos;Consumo_hogares
Total;Total;291262.9875;291262.9875;-5.14E-12;4;0;-98;2016;Electricidad, gas, agua y gestión de desechos;Consumo_hogares
0;Agropecuario-silvícola y Pesca;13985.638;13985.638;-2.06E-10;5;0;-98;2016;Construcción;Consumo_hogares
1;Minería;24815.83798;24815.83798;3.36E-11;5;0;-98;2016;Construcción;Consumo_hogares
2;Industria manufacturera;51505.56234;51505.56234;-3.08E-11;5;0;-98;2016;Construcción;Consumo_hogares
3;Electricidad, gas, agua y gestión de desechos;12675.04055;12675.04055;1.17E-10;5;0;-98;2016;Construcción;Consumo_hogares
4;Construcción;25224.49908;25224.49908;-4.26E-14;5;0;-98;2016;Construcción;Consumo_hogares
5;Comercio, hoteles y restaurantes;38664.68473;38664.68473;-3.77E-12;5;0;-98;2016;Construcción;Consumo_hogares
6;Transporte, comunicaciones y servicios de información;29715.62713;29715.62713;-7.99E-12;5;0;-98;2016;Construcción;Consumo_hogares
7;Intermediación financiera;13124.07236;13124.07236;-1.68E-11;5;0;-98;2016;Construcción;Consumo_hogares
8;Servicios inmobiliarios y de vivienda;16795.95538;16795.95538;-1.82E-12;5;0;-98;2016;Construcción;Consumo_hogares
9;Servicios empresariales;25172.307;25172.307;5.28E-11;5;0;-98;2016;Construcción;Consumo_hogares
10;Servicios personales;27953.37711;27953.37711;-8.53E-13;5;0;-98;2016;Construcción;Consumo_hogares
11;Administración pública;11630.38587;11630.38587;-1.02E-12;5;0;-98;2016;Construcción;Consumo_hogares
Total;Total;291262.9875;291262.9875;-5.14E-12;5;0;-98;2016;Construcción;Consumo_hogares
0;Agropecuario-silvícola y Pesca;13985.638;13985.638;-2.06E-10;6;0;-98;2016;Comercio, hoteles y restaurantes;Consumo_hogares
1;Minería;24815.83798;24815.83798;3.36E-11;6;0;-98;2016;Comercio, hoteles y restaurantes;Consumo_hogares
2;Industria manufacturera;51505.56234;51505.56234;-3.08E-11;6;0;-98;2016;Comercio, hoteles y restaurantes;Consumo_hogares
3;Electricidad, gas, agua y gestión de desechos;12675.04055;12675.04055;1.17E-10;6;0;-98;2016;Comercio, hoteles y restaurantes;Consumo_hogares
4;Construcción;25224.49908;25224.49908;-4.26E-14;6;0;-98;2016;Comercio, hoteles y restaurantes;Consumo_hogares
5;Comercio, hoteles y restaurantes;38664.68473;38664.68473;-3.77E-12;6;0;-98;2016;Comercio, hoteles y restaurantes;Consumo_hogares
6;Transporte, comunicaciones y servicios de información;29715.62713;29715.62713;-7.99E-12;6;0;-98;2016;Comercio, hoteles y restaurantes;Consumo_hogares
7;Intermediación financiera;13124.07236;13124.07236;-1.68E-11;6;0;-98;2016;Comercio, hoteles y restaurantes;Consumo_hogares
8;Servicios inmobiliarios y de vivienda;16795.95538;16795.95538;-1.82E-12;6;0;-98;2016;Comercio, hoteles y restaurantes;Consumo_hogares
9;Servicios empresariales;25172.307;25172.307;5.28E-11;6;0;-98;2016;Comercio, hoteles y restaurantes;Consumo_hogares
10;Servicios personales;27953.37711;27953.37711;-8.53E-13;6;0;-98;2016;Comercio, hoteles y restaurantes;Consumo_hogares
11;Administración pública;11630.38587;11630.38587;-1.02E-12;6;0;-98;2016;Comercio, hoteles y restaurantes;Consumo_hogares
Total;Total;291262.9875;291262.9875;-5.14E-12;6;0;-98;2016;Comercio, hoteles y restaurantes;Consumo_hogares
0;Agropecuario-silvícola y Pesca;13985.638;13985.638;-2.06E-10;7;0;-98;2016;Transporte, comunicaciones y servicios de información;Consumo_hogares
1;Minería;24815.83798;24815.83798;3.36E-11;7;0;-98;2016;Transporte, comunicaciones y servicios de información;Consumo_hogares
2;Industria manufacturera;51505.56234;51505.56234;-3.08E-11;7;0;-98;2016;Transporte, comunicaciones y servicios de información;Consumo_hogares
3;Electricidad, gas, agua y gestión de desechos;12675.04055;12675.04055;1.17E-10;7;0;-98;2016;Transporte, comunicaciones y servicios de información;Consumo_hogares
4;Construcción;25224.49908;25224.49908;-4.26E-14;7;0;-98;2016;Transporte, comunicaciones y servicios de información;Consumo_hogares
5;Comercio, hoteles y restaurantes;38664.68473;38664.68473;-3.77E-12;7;0;-98;2016;Transporte, comunicaciones y servicios de información;Consumo_hogares
6;Transporte, comunicaciones y servicios de información;29715.62713;29715.62713;-7.99E-12;7;0;-98;2016;Transporte, comunicaciones y servicios de información;Consumo_hogares
7;Intermediación financiera;13124.07236;13124.07236;-1.68E-11;7;0;-98;2016;Transporte, comunicaciones y servicios de información;Consumo_hogares
8;Servicios inmobiliarios y de vivienda;16795.95538;16795.95538;-1.82E-12;7;0;-98;2016;Transporte, comunicaciones y servicios de información;Consumo_hogares
9;Servicios empresariales;25172.307;25172.307;5.28E-11;7;0;-98;2016;Transporte, comunicaciones y servicios de información;Consumo_hogares
10;Servicios personales;27953.37711;27953.37711;-8.53E-13;7;0;-98;2016;Transporte, comunicaciones y servicios de información;Consumo_hogares
11;Administración pública;11630.38587;11630.38587;-1.02E-12;7;0;-98;2016;Transporte, comunicaciones y servicios de información;Consumo_hogares
Total;Total;291262.9875;291262.9875;-5.14E-12;7;0;-98;2016;Transporte, comunicaciones y servicios de información;Consumo_hogares
0;Agropecuario-silvícola y Pesca;13985.638;13985.638;-2.06E-10;8;0;-98;2016;Intermediación financiera;Consumo_hogares
1;Minería;24815.83798;24815.83798;3.36E-11;8;0;-98;2016;Intermediación financiera;Consumo_hogares
2;Industria manufacturera;51505.56234;51505.56234;-3.08E-11;8;0;-98;2016;Intermediación financiera;Consumo_hogares
